brand,car_model,datetime,desc,id,id_,problem,status,type,type_
知豆电动车,知豆D2,2020-08-28,知豆D2换挡按键损坏脱落 4S店不予质保,,515108,"H168,I297,",厂家受理,,2017款 D2 乐享版
吉利汽车,帝豪GL,2020-08-28,吉利帝豪GL离合器不回弹 刹车故障灯亮,,515107,"C267,E62,",信息审核,,2017款 1.8L 手动 精英型
北汽银翔,幻速S6,2020-08-28,北汽幻速S6后备箱锁块损坏4S店没有配件,,515104,"H197,N318,",信息审核,,2016款 1.5T CVT 尊享型
北京奔驰,奔驰C级,2020-08-28,北京奔驰C级主驾座椅皮革开裂4S店不保修,,515103,"H168,I297,",信息审核,,2015款 200 L 运动型 改款
广汽丰田,汉兰达,2020-08-28,广汽丰田汉兰达发动机抖动 喷油嘴漏油,,515102,"A24,A34,A53,",信息审核,,2017款 2.0T 四驱 豪华版 7座
长安马自达,马自达3 昂克赛拉,2020-08-28,长安马自达昂克赛拉行驶中发动机熄火,,515100,"A14,J298,J301,",信息审核,,2019款 云控版 三厢 1.5L 自动 豪华型 国VI
上汽大众,凌渡,2020-08-28,上汽大众凌渡左侧大灯内部下雨天出现雾水,,515095,"H88,",信息审核,,2019款 280TSI DSG 舒适版 国VI
一汽丰田,RAV4荣放,2020-08-28,一汽丰田RAV4荣放发动机机油增多,,515094,"A339,",信息审核,,2020款 双擎 2.5L CVT 四驱 精英PLUS版
北京奔驰,奔驰GLA,2020-08-28,北京奔驰GLA轮速传感器故障导致故障灯亮,,515081,"H234,",信息审核,,2016款 220 4MATIC 豪华型
长安汽车,逸动XT,2020-08-28,长安逸动XT定速巡航故障气囊报警要求解决,,515080,"A24,B22,H103,H253,",厂家受理,,2018款 1.6L GDI 自动 锐潮型 国V
上汽大众,凌渡,2020-08-28,上汽大众凌渡变速箱故障无法挂入倒挡,,515077,"B20,",信息审核,,2015款 330TSI DSG 豪华版
吉利汽车,帝豪GS,2020-08-28,吉利帝豪GS自适应巡航无法使用4S店不保修,,515075,"H253,I297,",处理反馈,,2016款 1.3T 自动 臻尚型 运动版
比亚迪,比亚迪F6,2020-08-28,比亚迪F6发动机舱盖处有多处生锈的现象,,515070,"H79,H81,",处理反馈,,2011款 1.8L 手动 豪华型
一汽-大众,速腾,2020-08-28,一汽大众速腾发动机异响飞轮生锈要求解决,,515068,"A9,B19,H79,",信息审核,,2018款 280TSI 双离合 舒适型
一汽-大众,探岳,2020-08-28,一汽大众探岳低速行驶时变速箱异响顿挫,,515065,"B33,B19,",信息审核,,2019款 330TSI 两驱 豪华型 国Ⅵ
东风悦达起亚,奕跑,2020-08-28,东风悦达起亚奕跑热车后发动机无法启动,,515063,"A44,",信息审核,,2019款 1.4L 自动 趣享版 国VI
广汽本田,雅阁,2020-08-28,广汽本田雅阁行驶过程中发动机熄火,,515061,"A14,",处理反馈,,2018款 260TURBO 精英版 国V
东风标致,标致3008,2020-08-28,东风标致3008电池充电或蓄电池系统故障,,515059,"H110,",处理反馈,,2015款 2.0L 自动 潮流版
一汽奔腾,奔腾B50,2020-08-28,奔腾B50车身漆面大面积生锈4S店不予保修,,515058,"H79,H81,I297,",信息审核,,2016款 1.6L 手动 舒适型
一汽-大众奥迪,奥迪A4L,2020-08-28,一汽大众奥迪A4L车机和变速箱异响,,515056,"B33,H134,",信息审核,,2019款 40 TFSI 时尚型 国VI
广汽本田,凌派,2020-08-28,广汽本田凌派电子驻车按键塌陷要求处理,,515054,"H168,I297,",处理反馈,,2019款 180Turbo CVT 舒适版 国V
上汽大众,凌渡,2020-08-28,上汽大众凌渡仪表盘指针不自检无法修复,,515051,"H202,",信息审核,,2017款 230TSI DSG 风尚版
上汽斯柯达,昊锐,2020-08-28,斯柯达昊锐天窗漏水要求厂家给予解决,,515050,"H90,",信息审核,,2009款 2.0TSI 自动 优雅版
长安马自达,马自达3 昂克赛拉,2020-08-28,长安马自达昂克赛拉方向盘掉漆导航屏幕开裂,,515047,"H134,H81,H168,",处理反馈,,2016款 1.5L 自动 豪华型 三厢
奇瑞汽车,艾瑞泽5,2020-08-28,奇瑞艾瑞泽5左前轮异响换挡打齿望处理,,515041,"B33,G125,",处理反馈,,2017款 1.5L 手动 领潮版
东风雪铁龙,雪铁龙C4L,2020-08-28,东风雪铁龙C4L节温器故障要求厂家召回,,515040,"A191,Q290,",处理反馈,,2014款 1.6THP 自动 智驱版 劲智型
凯翼汽车,凯翼C3R,2020-08-28,凯翼C3R变速箱脱挡动力消失希望厂家处理,,515039,"B334,",信息审核,,2015款 1.5L AMT 金钻版
一汽-大众,宝来,2020-08-28,一汽大众宝来变速箱异响厂家拖延不处理,,515038,"B33,",信息审核,,2020款 280TSI DSG 精英型
华晨宝马,宝马X1,2020-08-28,华晨宝马X1发动机怠速高变速箱换挡顿挫,,515035,"A35,B19,B69,I295,",信息审核,,2020款 xDrive25Li 尊享型
北京现代,领动,2020-08-28,北京现代领动轮毂有不同程度氧化腐蚀,,515034,"H243,I295,",信息审核,,2016款 1.6L 自动 智炫·精英型
奇瑞汽车,艾瑞泽5,2020-08-28,奇瑞艾瑞泽5方向盘不正变速箱故障灯亮,,515031,"B96,B334,D59,D154,",信息审核,,2019款 Pro 1.5L CVT青春版 改款 国VI
一汽-大众,探影,2020-08-28,一汽大众探影刹车异响 车内密封条热熔化,,515030,"E43,H72,H48,",信息审核,,2020款 1.5L 自动 尚
上汽大众,朗逸,2020-08-28,上汽大众朗逸厂家销售活动未兑现欺骗消费者,,515025,"L313,",信息审核,,2019款 280TSI DSG 豪华版 国VI
华晨中华,中华V7,2020-08-28,中华V7发动机有漏油的现象要求处理,,515022,"A12,I282,N318,N320,",信息审核,,2018款 280T DCT 豪华型 5座
东风日产,奇骏,2020-08-28,东风日产奇骏变速箱无法加速希望厂家处理,,515021,"B334,",处理反馈,,2014款 2.5L XL CVT 四驱 领先版
一汽-大众,高尔夫,2020-08-28,一汽大众高尔夫油门反应延迟导致车辆事故,,515011,"A11,I295,",信息审核,,2017款 1.6L 自动 舒适百万辆纪念版
吉利汽车,帝豪GL,2020-08-28,吉利帝豪GL车内隔音棉处无覆盖物,,515008,"Q322,",处理反馈,,2018款 1.8L 自动 精英智联型
华晨宝马,宝马X1,2020-08-28,华晨宝马X1发动机怠速高低速换挡顿挫,,515007,"A35,B19,",信息审核,,2020款 xDrive25Li 尊享型
SWM斯威汽车,SWM斯威X7,2020-08-28,SWM斯威X7变速箱挂挡时顿挫 发动机抖动,,515003,"A24,B19,",厂家受理,,2018款 1.5T 自动 智享互联版 7座
林肯（进口）,大陆,2020-08-28,林肯大陆后排座椅靠背变硬且向内收缩,,515001,"H169,I292,",信息审核,,2019款 2.0T 两驱 尊享版 国VI
众泰汽车,大迈X5,2020-08-28,众泰大迈X5车窗升降故障希望厂家处理,,514997,"H67,",信息审核,,2017款 1.6L 手动 舒适型 超值版
上汽通用五菱,五菱荣光小卡,2020-08-28,上汽通用五菱荣光小卡漆面多处开裂,,514996,"H81,",处理反馈,,2020款 1.5L 基本型 国VI 单排 L3C
一汽丰田,卡罗拉,2020-08-28,一汽丰田卡罗拉智行互联被其他人注册过,,514993,"M284,",信息审核,,2019款 1.2T S-CVT GL-i精英版
上汽大众,桑塔纳,2020-08-28,上汽大众桑塔纳发动机启动时异响故障报警,,514990,"A9,A34,",信息审核,,2019款 1.5L 手动 风尚版 国VI
吉利汽车,帝豪GL,2020-08-28,吉利帝豪GL车门生锈严重希望厂家处理,,514987,"H79,H81,",信息审核,,2019款 1.4T CVT 精英智享版
上汽大众,朗逸,2020-08-28,上汽大众朗逸变速箱异响严重希望处理,,514985,"B33,",信息审核,,2019款 280TSI DSG 舒适版 国VI
一汽-大众,速腾,2020-08-28,一汽大众速腾发动机漏油 球笼套漏油,,514984,"A12,D59,G161,H67,J300,",处理反馈,,2015款 1.6L  自动 舒适型
吉利汽车,远景S1,2020-08-28,吉利远景S1车门生锈希望厂家处理问题,,514980,"H79,H81,",信息审核,,2018款 1.5L 手动 锋驰型
上汽通用五菱,五菱荣光,2020-08-28,五菱荣光车身生锈严重要求尽快解决,,514979,"H79,",处理反馈,,2017款 1.2L 基本型 加长
一汽-大众,高尔夫,2020-08-28,一汽大众高尔夫变速箱机电元件故障,,514976,"B96,B84,",处理反馈,,2020款 280TSI DSG 舒适型
奇瑞汽车,艾瑞泽7,2020-08-28,奇瑞艾瑞泽7车门处有严重的生锈的现象,,514973,"H79,",处理反馈,,2016款 1.6L 手动 智效致臻版
奔驰（进口）,奔驰C级（进口）,2020-08-28,进口奔驰C级发动机故障灯亮 车身严重抖动,,514972,"A34,H268,",信息审核,,2020款 C 260 轿跑车
东风标致,标致508,2020-08-28,东风标致508车身B柱方向机天窗异响,,514964,"D59,H15,H89,H169,",处理反馈,,2019款 508L 400THP PureTech 驾控版 国VI
长安凯程,长安睿行S50,2020-08-28,长安凯程睿行S50车门生锈严重4S店不保修,,514962,"H79,I297,",信息审核,,2017款 1.5T 手动 旗舰型 5MT
北京现代,领动,2020-08-28,北京现代领动变速箱顿挫 右前车窗升降慢,,514959,"B19,B95,H72,H67,",信息审核,,2018款 1.4T 双离合 炫动·活力型
上汽斯柯达,昊锐,2020-08-28,斯柯达昊锐车内异味希望厂家解决处理,,514957,"H185,",信息审核,,2009款 1.8TSI 自动 尊雅版
广汽三菱,劲炫ASX,2020-08-28,广汽三菱劲客ASX购车四年车内异味严重,,514955,"H185,",厂家受理,,2013款 2.0L 自动 两驱 精英版 5座
一汽-大众,迈腾,2020-08-28,一汽大众迈腾变速箱机电单元故障无法挂挡,,514954,"B84,",处理反馈,,2017款 330TSI DSG 豪华型
奔驰（进口）,奔驰GLE,2020-08-28,进口奔驰GLE空调出风口拔片损坏无法使用,,514952,"H168,",信息审核,,2017款 320 4MATIC 动感型
野马汽车,野马T70,2020-08-28,野马T70踩油门时发动机空转而且有异响,,514944,"B334,B84,",处理反馈,,2016款 1.8T CVT 旗舰型 升级版
广汽本田,飞度,2020-08-28,广汽本田飞度冷车启动发动机VTC阀异响,,514943,"A9,",处理反馈,,2016款 1.5L LX CVT 舒适型
奇瑞汽车,捷途X70,2020-08-28,捷途X70变速箱顿挫 副驾驶车门内侧生锈,,514941,"B19,H79,",用户评分,,2018款 1.5T 自动 悦行版
奇瑞汽车,艾瑞泽5,2020-08-28,奇瑞艾瑞泽5减震器异响天窗玻璃异响,,514938,"G52,H89,",处理反馈,,2017款 1.5L CVT 豪华版
沃尔沃亚太,沃尔沃S90,2020-08-28,亚太沃尔沃S90高速行驶方向盘抖动车身抖动,,514933,"D80,H268,",信息审核,,2020款 T5 智逸豪华版
一汽-大众奥迪,奥迪A6L,2020-08-28,一汽大众奥迪A6L右后视镜无法自动打开,,514928,"H211,I297,",信息审核,,2014款 30 FSI CVT 豪华型
东风日产,轩逸,2020-08-28,东风日产轩逸倒车影像蓝屏要求解决,,514924,"H134,",处理反馈,,2020款 1.6L XL CVT 悦享版
众泰汽车,芝麻,2020-08-28,众泰芝麻动力电池故障车辆无法行驶,,514923,"H343,",信息审核,,2017款 标准型
北京现代,领动,2020-08-28,北京现代领动发动机烧机油希望尽快处理,,514920,"A63,",信息审核,,2019款 1.4T 双离合 炫动·活力型
宝沃汽车,宝沃BX5,2020-08-28,宝沃BX5行驶中下坡变速箱脱挡要求解决,,514916,"B246,",用户评分,,2020款 20TGDI 自动 两驱先锋型
一汽-大众,迈腾,2020-08-28,一汽大众迈腾变速箱故障报警无法换挡提速,,514911,"A34,B20,B96,B334,B84,B27,",处理反馈,,2017款 330TSI DSG 豪华型
东风雪铁龙,雪铁龙C4L,2020-08-28,东风雪铁龙C4L大修发动机后无法加速,,514909,"A160,I282,J301,",处理反馈,,2014款 1.6THP 自动 智驱版 劲智型
东风日产,轩逸,2020-08-28,东风日产轩逸变速箱无法换挡无法加速,,514907,"B20,B334,I294,",处理反馈,,2016款 1.6XL CVT 尊享版
东风雪铁龙,凯旋,2020-08-28,东风雪铁龙凯旋加满汽油后漏油望厂家解决,,514902,"H271,",信息审核,,2006款 2.0L 手动 精英型
东风标致,标致308,2020-08-28,东风标致308油箱及汽油泵变形 油表显示不准,,514896,"B19,H202,H78,H271,J303,",信息审核,,2014款 乐享版 经典 1.6L 自动 风尚型
众泰汽车,众泰Z500,2020-08-28,众泰Z500质保期内出现的质量问题不予索赔,,514895,"I297,",信息审核,,2015款 1.5T 手动 尊贵型
一汽-大众,宝来,2020-08-27,一汽大众宝来倒车影像系统黑屏望厂家解决,,514890,"H134,",处理反馈,,2020款 1.5L 自动 舒适型
长安马自达,马自达3 昂克赛拉,2020-08-27,长安马自达3昂克赛拉前挡风玻璃炸裂,,514889,"H113,I297,I292,",用户评分,,2020款 2.0L 自动 质豪版
奔驰（进口）,奔驰S级,2020-08-27,进口奔驰S级发动机故障灯亮4S店未解决,,514882,"A34,H202,I295,I293,",信息审核,,2019款 S 450 L 臻藏版
东风日产,轩逸,2020-08-27,东风日产轩逸主驾驶座椅上车时晃动,,514881,"H169,",处理反馈,,2019款 1.6XV CVT 智联尊享版 国VI
北京汽车,威旺S50,2020-08-27,北汽威旺S50车身抖动 经销商出售问题车,,514878,"B95,M284,",厂家受理,,2016款 1.5T CVT 乐动 豪华型
上汽通用五菱,宝骏610,2020-08-27,宝骏610底盘边梁生锈希望厂家处理问题,,514877,"H79,",处理反馈,,2014款 1.5L 自动 舒适型 CROSS
北京汽车,威旺M50F,2020-08-27,北汽威旺M50F合格证日期与铭牌相差太大,,514876,"M284,",厂家受理,,2017款 1.5L 标准型
一汽-大众,速腾,2020-08-27,一汽大众速腾方向盘掉皮存在质量问题,,514873,"H157,",处理反馈,,2018款 1.6L 自动 舒适型
上汽大众,途昂X,2020-08-27,上汽大众途昂X后视镜角度无法固定,,514868,"H211,",处理反馈,,2020款 改款 380TSI 四驱 尊崇豪华版
吉利汽车,帝豪GL,2020-08-27,吉利帝豪GL车门生锈 排气管生锈质量差,,514866,"H79,H30,",处理反馈,,2017款 1.8L 自动 精英型
一汽丰田,卡罗拉,2020-08-27,一汽丰田卡罗拉车灯亮度不达标无法登记,,514865,"H82,",信息审核,,2019款 双擎 1.8L E-CVT GL-i精英版
众泰汽车,众泰Z700,2020-08-27,众泰Z700变速箱顿挫 转向异响4S店退网,,514860,"A12,B19,D59,N318,O326,",信息审核,,2016款 1.8T DCT 典雅型
一汽-大众奥迪,奥迪Q2L,2020-08-27,一汽大众奥迪Q2L发动机故障灯常亮,,514859,"A34,",信息审核,,2020款 35TFSI 进取动感型
东风日产,逍客,2020-08-27,东风日产逍客4S店销售低配当高配卖不解决,,514858,"I295,M280,",处理反馈,,2019款 2.0L CVT 豪华版
奇瑞汽车,瑞虎8,2020-08-27,奇瑞瑞虎8大灯照射存在盲区中控异响,,514851,"H93,Q322,",信息审核,,2020款 290TGDI 自动 豪华版
上汽大众,朗逸,2020-08-27,上汽大众朗逸车漆鼓包 车窗密封条开裂,,514845,"H81,H48,I294,",用户评分,,2017款 1.6L 自动 风尚版
一汽大众,捷达VS7,2020-08-27,捷达VS7空调压缩机异响严重厂家不予解决,,514843,"H101,I295,",处理反馈,,2020款 1.4T 自动 悦享型
一汽大众,捷达VS5,2020-08-27,捷达VS5刹车异响要求厂家尽快解决,,514842,"E43,I295,",处理反馈,,2019款 280TSI 自动 荣耀型
上汽斯柯达,速派,2020-08-27,斯柯达速派天窗胶条异响希望厂家处理,,514841,"H89,H48,I294,",处理反馈,,2019款 改款 TSI330 DSG 豪华版
东风标致,标致308,2020-08-27,东风标致308变速箱异响无法加速要求解决,,514838,"B33,B334,I297,",信息审核,,2013款 1.6L 自动 优尚型
长安汽车,长安欧尚X7,2020-08-27,长安欧尚X7后尾灯不亮要求厂家处理,,514832,"H82,",用户评分,,2020款 1.5T 自动 豪华型
江铃福特,领界,2020-08-27,江铃福特领界发动机无法启动故障灯亮,,514828,"A34,A44,",处理反馈,,2019款 EcoBoost 145 CVT 铂领型 国VI
一汽-大众奥迪,奥迪A6L,2020-08-27,一汽大众奥迪A6L天窗漏水要求厂家处理,,514826,"H90,",信息审核,,2017款 30 FSI CVT 舒适型
一汽吉林,森雅R7,2020-08-27,一汽吉林森雅R7导航黑屏要求厂家处理,,514823,"H134,",信息审核,,2016款 1.6L 手动 尊贵型
一汽-大众奥迪,奥迪A6L,2020-08-27,一汽大众奥迪A6L车身抖动发动机异响,,514819,"A35,B33,H268,",信息审核,,2020款 40 TFSI 豪华动感型
一汽奔腾,奔腾B50,2020-08-27,一汽奔腾B50车身多处出现严重生锈的现象,,514818,"H79,",信息审核,,2013款 1.6L 手动 舒适型
华晨宝马,宝马X3,2020-08-27,华晨宝马X3发动机抖动 车内按键失灵,,514816,"A24,H134,",信息审核,,2020款 xDrive28i 豪华套装
长城汽车,哈弗F5,2020-08-27,哈弗F5变速箱换挡顿挫 仪表上油耗不准确,,514812,"B19,H202,",处理反馈,,2018款 1.5T i潮版
华晨中华,中华V6,2020-08-27,华晨中华V6经销商无配件导致无法更换,,514810,"N318,",信息审核,,2018款 1.5T 手动 精英型
长安汽车,长安欧尚X7,2020-08-27,长安欧尚X7空调压缩机漏水转向异响,,514809,"D59,H101,",信息审核,,2020款 1.5T 自动 豪华型
上汽大通,上汽大通MAXUS G50,2020-08-27,上汽大通MAXUS G50发动机抖动异响,,514798,"A9,A24,",处理反馈,,2019款 1.5T 自动 精英版 国VI
广汽乘用车,传祺GA4,2020-08-27,广汽传祺GA4室内顶灯眼镜盒总成自然脱落,,514797,"H168,",信息审核,,2018款 200T 自动 尊享版
吉利汽车,帝豪GL,2020-08-27,吉利帝豪GL变速箱挡杆振动承诺解决未兑现,,514789,"B33,B95,",处理反馈,,2019款 1.4T CVT 尊贵智享型
一汽丰田,RAV4荣放,2020-08-27,一汽丰田RAV4荣放前后护板有严重色差,,514788,"H201,",信息审核,,2020款 2.0L CVT 两驱 都市版
一汽丰田,RAV4荣放,2020-08-27,一汽丰田RAV4荣放漆面鼓包开裂希望厂家处理,,514787,"H81,",信息审核,,2020款 2.5L CVT 两驱 精英版 双擎
一汽-大众,宝来,2020-08-27,一汽大众宝来显示变速箱紧急模式维修未解决,,514784,"B96,",信息审核,,2020款 1.5L 自动 舒适型
一汽-大众,速腾,2020-08-27,一汽大众速腾加速时异响4S店不处理,,514775,"B33,",处理反馈,,2020款 280TSI DSG 舒适型 国VI
陆风汽车,陆风X5,2020-08-27,陆风X5车身整体生锈存在质量问题,,514773,"H79,",信息审核,,2018款 1.5T 手动 创享版 Plus
长安汽车,长安欧尚A600,2020-08-27,长安欧尚A600电池漏液车门生锈严重,,514771,"H79,H146,",信息审核,,2017款 1.5L 手动 豪华型
华晨宝马,宝马1系,2020-08-27,华晨宝马1系座椅调节故障希望质保维修,,514765,"H169,",信息审核,,2018款 改款 118i 运动型
东南汽车,翼神,2020-08-27,东南三菱翼神无法换挡4S店拖延不处理,,514764,"I295,N318,",处理反馈,,2011款 1.8 手动 致尚版豪华型
东风风行,菱智,2020-08-27,东风风行菱智方向机漏油 售后无零件,,514763,"D58,N318,",处理反馈,,2017款 1.5L 豪华型 7座 V3
众泰汽车,众泰Z700,2020-08-27,众泰Z700发动机车轮异响厂家无人处理,,514762,"A9,G125,",信息审核,,2016款 1.8T 手动 豪华型
一汽-大众,速腾,2020-08-27,一汽大众速腾行驶过程中变速箱有异响,,514756,"B33,",处理反馈,,2017款 230TSI 自动 舒适型
华晨中华,中华V7,2020-08-27,华晨中华V7天窗漏水 顶棚脱落 售后无配件,,514753,"H179,N318,",信息审核,,2018款 280T DCT 尊贵型 5座
东风本田,本田CR-V,2020-08-27,东风本田CR-V经销商销售旧款车型不解决,,514751,"I295,I293,M280,",用户评分,,2019款 240TURBO CVT 两驱 舒适版 国V
东风日产,逍客,2020-08-27,东风日产逍客高速行驶过程中动力消失,,514749,"B334,",处理反馈,,2016款 2.0L CVT 豪华版
一汽-大众,迈腾,2020-08-27,一汽大众迈腾变速箱无法提速动力消失,,514743,"B334,B84,",处理反馈,,2017款 330TSI DSG 豪华型
吉利汽车,吉利icon,2020-08-27,吉利icon售后维修导致线束损坏希望厂家处理,,514736,"J299,J304,",用户评分,,2020款 300T DCT 银河限量版
广汽三菱,欧蓝德,2020-08-27,广汽三菱欧蓝德发动机抖动熄火 座椅生锈,,514728,"A24,A163,A14,A35,H79,H164,",厂家受理,,2019款 2.0L 两驱 畅享版 5座 国VI
奇瑞汽车,瑞虎8,2020-08-27,奇瑞瑞虎8发动机失缸 大灯转向盲区大,,514725,"A24,H71,",处理反馈,,2020款 290TGDI 自动 豪华版
长城汽车,哈弗H6 Coupe,2020-08-27,哈弗H6 Coupe前大灯进水厂家不予解决,,514722,"H88,",处理反馈,,2018款 1.5T 自动 两驱 超豪型 红标
一汽-大众,探岳,2020-08-27,一汽大众探岳4S店退保险要求缴纳补偿金,,514716,"K307,",处理反馈,,2019款 380TSI 四驱 尊贵型 国VI
一汽丰田,卡罗拉,2020-08-27,一汽丰田卡罗拉新车发动机异响不解决问题,,514714,"A9,A38,I295,I281,I292,",信息审核,,2019款 1.2T S-CVT GL-i精英版
一汽-大众奥迪,奥迪A3,2020-08-27,一汽大众奥迪A3轮速传感器多次损坏,,514712,"E62,N317,",信息审核,,2014款 Sportback 1.4T 双离合 进取型
一汽-大众,宝来,2020-08-27,一汽大众宝来锦湖轮胎开裂希望厂家处理,,514711,"F100,",用户评分,,2018款 1.5L 自动 时尚型
一汽-大众,探岳,2020-08-27,一汽大众探岳定损更换右后轮眉厂家无货,,514709,"N318,",处理反馈,,2019款 380TSI 四驱 R-Line 国VI
华晨宝马,宝马3系,2020-08-27,华晨宝马3系发动机热管理模块故障漏冷却液,,514708,"A37,A191,",信息审核,,2020款 325Li 首发版
宝马（进口）,宝马X5,2020-08-27,进口宝马X5新车车漆有划痕要求退还定金,,514705,"M284,",信息审核,,2020款 xDrive30i M运动套装
一汽-大众,T-ROC探歌,2020-08-27,一汽大众T-ROC探歌两侧尾灯有裂纹,,514704,"H220,I282,",处理反馈,,2019款 280TSI DSG 两驱 舒适型 国VI
领克汽车,领克01,2020-08-27,领克01变速箱顿挫 刹车异响 倒车影像不显示,,514700,"A85,B19,E43,H134,H101,",处理反馈,,2017款 2.0T 自动 两驱 型
东风日产,奇骏,2020-08-27,东风日产奇骏变速箱阀体故障存在安全隐患,,514696,"B84,",处理反馈,,2014款 2.5L XV CVT 四驱 至尊版
东风本田,本田CR-V,2020-08-27,东风本田CR-V上坡时出现溜车现象,,514694,"E74,",用户评分,,2017款 240TURBO 自动 四驱 豪华版
长安马自达,马自达3 昂克赛拉,2020-08-27,长安马自达昂克赛拉多媒体显示屏自然开裂,,514693,"H168,",处理反馈,,2016款 1.5L 自动 豪华型 三厢
众泰汽车,众泰T300,2020-08-27,众泰T300起步时顿挫 倒车雷达时好时坏,,514689,"B19,H289,",信息审核,,2018款 1.5L CVT 精英型
领克汽车,领克03,2020-08-27,领克03倒车影像失灵 中控及车门异响,,514687,"H134,H72,H93,J298,",用户评分,,2019款 1.5TD DCT 劲版 国VI
上汽集团,锐腾,2020-08-27,上汽名爵锐腾变速箱漏油一直无法解决,,514685,"B22,",处理反馈,,2016款 1.5TGI TST 豪华版
上汽大众,朗逸,2020-08-27,上汽大众朗逸蓄电池电压低发动机无法启动,,514684,"H146,",处理反馈,,2018款 280TSI DSG 舒适版 国V
海马汽车,海马S5青春版,2020-08-27,海马S5青春版天窗开关故障有异响现象,,514683,"H89,",处理反馈,,2018款 1.6L CVT 豪华型
广众汽车豪沃,豪沃,2020-08-27,广众汽车豪沃发动机故障灯亮电瓶报警,,514681,"A34,A160,H146,J298,",信息审核,,轻卡
众泰汽车,众泰T600,2020-08-27,众泰T600空调不制冷变速箱挂D挡无法行驶,,514680,"B334,H101,",信息审核,,2015款 2.0T 自动 尊贵型
宝沃汽车,宝沃BX7,2020-08-27,宝沃BX7发动机漏防冻液要求厂家处理,,514675,"A37,",处理反馈,,2016款 28T 两驱 精英版 5座
吉利汽车,博瑞,2020-08-27,吉利博瑞4S店销售车辆无法按时交付,,514672,"I295,I293,I294,L312,",处理反馈,,2021款 1.8T 领航版+
北京越野,北京BJ40,2020-08-27,北京BJ40导航不精准而且导航无法升级,,514667,"H21,",处理反馈,,2018款 PLUS 2.3T 自动 四驱 旗舰型 国V
上汽大众,桑塔纳,2020-08-27,上汽大众桑塔纳天然气气管破裂4S店不解决,,514666,"H168,I297,",用户评分,,2019款 1.5L 手动 风尚版 国VI
东风标致,标致408,2020-08-27,东风标致408主驾驶侧车窗升降器损坏,,514665,"H67,",处理反馈,,2018款 350THP 自动 豪华版 改款
华晨宝马,宝马5系,2020-08-27,华晨宝马5系安全系统故障 娱乐系统故障,,514662,"H134,H170,",信息审核,,2020款 530Li 尊享型 豪华套装
东风标致,标致408,2020-08-27,东风标致408驾驶舱进水 车内异味明显,,514657,"H185,H109,",处理反馈,,2016款 1.6T 自动 豪华版
东风雪铁龙,雪铁龙C4L,2020-08-27,东风雪铁龙C4L方向盘松动 高速抖动,,514655,"D80,D337,",处理反馈,,2014款 1.8L 手动 智驱版 劲享型
吉利汽车,帝豪GL,2020-08-27,吉利帝豪GL保险盒烧毁希望厂家处理问题,,514654,"H110,I294,",用户评分,,2017款 1.3T 自动 尊贵型
一汽-大众,宝来,2020-08-27,一汽大众宝来正常使用车身漆面有起泡现象,,514650,"H81,",处理反馈,,2019款 1.5L 手动 时尚型
奇瑞汽车,艾瑞泽5,2020-08-27,奇瑞艾瑞泽5大灯进水起雾车身多处生锈,,514649,"H79,H88,",处理反馈,,2016款 1.5L 手动 领潮版
江铃福特,领界,2020-08-27,江铃福特领界蓄电池亏电导致发动机无法启动,,514648,"H146,",处理反馈,,2019款 EcoBoost 145 CVT 尊领型 国VI
一汽-大众,迈腾,2020-08-27,一汽大众迈腾变速箱异响顿挫4S店不予解决,,514647,"B33,B19,I295,",处理反馈,,2019款 280TSI DSG 领先型 国VI
东风标致,标致408,2020-08-27,东风标致408蓄电池亏电导致发动机无法启动,,514646,"H146,",处理反馈,,2018款 350THP 自动 豪华版 改款
大众（进口）,途锐,2020-08-27,进口大众途锐4S店维修配件有质量问题,,514645,"N317,",信息审核,,2018款 3.0TSI 荣耀 典藏版
一汽丰田,RAV4荣放,2020-08-27,一汽丰田RAV4荣放缴纳保险费后未上保险	售,,514644,"L313,",信息审核,,2020款 2.0L CVT 两驱 风尚版
海马汽车,海马8S,2020-08-27,海马8S行驶时车身抖动严重希望尽快解决,,514642,"H268,",用户评分,,2019款 1.6TGDI 自动 智版
上汽斯柯达,速派,2020-08-27,斯柯达速派行驶中变速箱脱挡动力消失,,514641,"B246,",处理反馈,,2013款 1.4T DSG 绅仕版
一汽丰田,卡罗拉,2020-08-27,一汽丰田卡罗拉四个车门内侧有开裂的现象,,514622,"H168,",信息审核,,2017款 1.2T S-CVT GL-i 改款
一汽-大众奥迪,奥迪A4L,2020-08-27,一汽大众奥迪A4L变速器故障维修后异响,,514618,"B33,J300,",信息审核,,2019款 40 TFSI 进取型 国VI
奇瑞汽车,捷途X70,2020-08-27,捷途X70行驶过程中两前减震器有异响,,514615,"G52,",用户评分,,2020款 1.5T DCT 畅行版 6座
东风日产,轩逸,2020-08-27,东风日产轩逸发动机故障 变速箱电脑故障,,514613,"A34,B115,",处理反馈,,2014款 1.6L XV CVT 尊享版
江淮汽车,瑞风R3,2020-08-27,江淮瑞风R3变速箱怠速异响希望尽快解决,,514611,"B33,",用户评分,,2018款 1.6L CVT 豪华天窗型
雷克萨斯,雷克萨斯ES,2020-08-27,雷克萨斯ES中控台异响多次维修未解决问题,,514610,"H93,",厂家受理,,2018款 200 卓越版 国VI
